user_id,event_date,event_type,plan,source_channel,feature_id
1,2024-10-22,signup,Free,Direct,
2,2025-11-19,signup,Free,Affiliate,
3,2025-10-17,signup,Free,Paid_Search,
3,2025-10-20,email_verified,Free,Paid_Search,
4,2025-11-23,signup,Pro,Paid_Search,
4,2025-11-25,email_verified,Pro,Paid_Search,
4,2025-11-27,first_session,Pro,Paid_Search,
5,2024-10-07,signup,Free,Referral,
5,2024-10-07,email_verified,Free,Referral,
6,2026-03-12,signup,Pro,Organic,
6,2026-03-13,email_verified,Pro,Organic,
6,2026-03-13,first_session,Pro,Organic,
6,2026-03-20,first_key_action,Pro,Organic,
6,2026-03-24,feature_used,Pro,Organic,F2_Reports
6,2026-03-25,feature_used,Pro,Organic,F3_Integrations
6,2026-03-25,feature_used,Pro,Organic,F1_Search
6,2026-03-27,feature_used,Pro,Organic,F2_Reports
6,2026-03-28,feature_used,Pro,Organic,F1_Search
6,2026-03-28,feature_used,Pro,Organic,F4_Collaboration
6,2026-03-31,feature_used,Pro,Organic,F2_Reports
6,2026-03-31,feature_used,Pro,Organic,F1_Search
6,2026-04-03,feature_used,Pro,Organic,F4_Collaboration
7,2025-12-02,signup,Pro,Referral,
7,2025-12-05,email_verified,Pro,Referral,
7,2025-12-06,first_session,Pro,Referral,
7,2025-12-10,first_key_action,Pro,Referral,
7,2025-12-18,feature_used,Pro,Referral,F1_Search
7,2025-12-21,feature_used,Pro,Referral,F1_Search
7,2025-12-23,feature_used,Pro,Referral,F2_Reports
7,2025-12-25,feature_used,Pro,Referral,F2_Reports
7,2025-12-28,feature_used,Pro,Referral,F2_Reports
7,2026-01-01,feature_used,Pro,Referral,F2_Reports
7,2026-01-02,feature_used,Pro,Referral,F4_Collaboration
7,2026-01-03,feature_used,Pro,Referral,F3_Integrations
7,2026-01-03,feature_used,Pro,Referral,F5_API
7,2026-01-04,feature_used,Pro,Referral,F3_Integrations
7,2026-01-05,feature_used,Pro,Referral,F5_API
7,2026-01-05,feature_used,Pro,Referral,F4_Collaboration
7,2026-01-07,feature_used,Pro,Referral,F3_Integrations
7,2026-01-08,feature_used,Pro,Referral,F4_Collaboration
7,2026-01-08,feature_used,Pro,Referral,F1_Search
7,2026-01-09,feature_used,Pro,Referral,F2_Reports
7,2026-01-09,feature_used,Pro,Referral,F1_Search
7,2026-01-10,feature_used,Pro,Referral,F5_API
7,2026-01-11,feature_used,Pro,Referral,F4_Collaboration
7,2026-01-12,feature_used,Pro,Referral,F2_Reports
7,2026-01-14,feature_used,Pro,Referral,F2_Reports
7,2026-01-15,feature_used,Pro,Referral,F1_Search
7,2026-01-17,feature_used,Pro,Referral,F5_API
7,2026-01-18,feature_used,Pro,Referral,F5_API
7,2026-01-19,feature_used,Pro,Referral,F3_Integrations
7,2026-01-20,feature_used,Pro,Referral,F3_Integrations
7,2026-01-20,feature_used,Pro,Referral,F3_Integrations
7,2026-01-20,feature_used,Pro,Referral,F2_Reports
7,2026-01-21,feature_used,Pro,Referral,F3_Integrations
7,2026-01-21,feature_used,Pro,Referral,F5_API
7,2026-01-22,feature_used,Pro,Referral,F1_Search
7,2026-01-22,feature_used,Pro,Referral,F3_Integrations
7,2026-01-25,feature_used,Pro,Referral,F1_Search
7,2026-01-25,feature_used,Pro,Referral,F1_Search
7,2026-01-30,feature_used,Pro,Referral,F3_Integrations
7,2026-01-30,feature_used,Pro,Referral,F1_Search
